Gene symbol,P-value (A549-Cas9-Veh vs. A549-LIMD1KO-C10-Veh),FDR step up (A549-Cas9-Veh vs. A549-LIMD1KO-C10-Veh),Ratio (A549-Cas9-Veh vs. A549-LIMD1KO-C10-Veh),Fold change (A549-Cas9-Veh vs. A549-LIMD1KO-C10-Veh),LSMean(A549-Cas9-Veh) (A549-Cas9-Veh vs. A549-LIMD1KO-C10-Veh),LSMean(A549-LIMD1KO-C10-Veh) (A549-Cas9-Veh vs. A549-LIMD1KO-C10-Veh)
VCAN,6.43E-20,8.01E-16,2.94E+02,2.94E+02,3.36E+02,1.14E+00
NTRK3,1.36E-03,2.19E-02,7.49E+01,7.49E+01,3.05E+01,4.07E-01
FGB,3.48E-09,1.06E-06,5.05E+01,5.05E+01,8.36E+01,1.65E+00
PKDCC,1.57E-03,2.42E-02,2.81E+01,2.81E+01,1.60E+01,5.69E-01
SLC7A7,1.75E-02,1.22E-01,2.72E+01,2.72E+01,3.03E+01,1.11E+00
FXYD2,1.08E-01,3.69E-01,1.82E+01,1.82E+01,1.50E+02,8.24E+00
DSEL,4.84E-04,1.04E-02,1.61E+01,1.61E+01,4.83E+00,3.00E-01
SLPI,5.90E-02,2.62E-01,1.45E+01,1.45E+01,8.26E+00,5.71E-01
PALMD,1.32E-05,6.27E-04,1.14E+01,1.14E+01,3.30E+00,2.90E-01
SLFN11,1.59E-03,2.43E-02,1.09E+01,1.09E+01,2.96E+00,2.71E-01
CPS1,2.00E-08,3.89E-06,9.85E+00,9.85E+00,8.38E+00,8.50E-01
PKIB,1.64E-08,3.40E-06,9.02E+00,9.02E+00,9.61E+00,1.06E+00
UNC13D,1.19E-09,4.24E-07,8.40E+00,8.40E+00,3.77E+01,4.49E+00
ARAP2,8.79E-08,1.33E-05,7.91E+00,7.91E+00,7.12E+00,9.00E-01
APOL1,7.03E-08,1.11E-05,7.84E+00,7.84E+00,1.44E+01,1.84E+00
ANK3,2.52E-07,3.11E-05,6.86E+00,6.86E+00,1.06E+01,1.55E+00
OLFML3,4.71E-06,2.88E-04,6.86E+00,6.86E+00,3.57E+01,5.20E+00
AC009245.1,1.07E-01,3.67E-01,6.63E+00,6.63E+00,2.36E+01,3.57E+00
PLCB1,1.64E-07,2.18E-05,6.61E+00,6.61E+00,9.52E+00,1.44E+00
VGF,4.03E-05,1.49E-03,6.59E+00,6.59E+00,6.96E+00,1.06E+00
SPTLC3,2.10E-02,1.38E-01,6.58E+00,6.58E+00,2.81E+00,4.27E-01
IGFBP1,1.36E-05,6.36E-04,6.44E+00,6.44E+00,1.08E+01,1.68E+00
RNF43,7.09E-11,3.68E-08,6.20E+00,6.20E+00,2.64E+01,4.25E+00
NKD1,1.57E-04,4.39E-03,6.01E+00,6.01E+00,3.95E+00,6.58E-01
CEACAM6,1.74E-01,4.76E-01,5.97E+00,5.97E+00,5.98E+01,1.00E+01
RBFOX3,2.08E-01,5.22E-01,5.57E+00,5.57E+00,2.40E+01,4.31E+00
ARRB1,5.18E-04,1.10E-02,5.48E+00,5.48E+00,8.97E+00,1.64E+00
SLC16A7,1.06E-08,2.32E-06,5.35E+00,5.35E+00,1.45E+01,2.71E+00
SPRY1,4.20E-04,9.34E-03,5.33E+00,5.33E+00,2.58E+00,4.84E-01
SLFN5,7.76E-09,1.86E-06,5.22E+00,5.22E+00,1.36E+01,2.60E+00
PROS1,5.88E-05,2.07E-03,5.13E+00,5.13E+00,7.48E+00,1.46E+00
TVP23C-CDRT4,9.06E-04,1.64E-02,5.10E+00,5.10E+00,6.26E+00,1.23E+00
INHBB,5.19E-11,3.08E-08,5.09E+00,5.09E+00,1.14E+02,2.24E+01
NPR3,1.71E-06,1.35E-04,5.08E+00,5.08E+00,2.06E+01,4.05E+00
MMP7,3.56E-01,6.81E-01,5.07E+00,5.07E+00,6.55E+01,1.29E+01
NR4A2,3.52E-05,1.35E-03,5.01E+00,5.01E+00,2.86E+00,5.70E-01
LOH12CR2,1.71E-03,2.53E-02,4.84E+00,4.84E+00,2.38E+00,4.93E-01
ADORA2B,4.93E-06,2.96E-04,4.70E+00,4.70E+00,8.87E+00,1.89E+00
RSPO3,2.76E-01,6.03E-01,4.70E+00,4.70E+00,3.65E+02,7.76E+01
SAMD11,1.37E-07,1.90E-05,4.66E+00,4.66E+00,4.57E+01,9.82E+00
PTGS2,2.49E-01,5.71E-01,4.60E+00,4.60E+00,6.72E+01,1.46E+01
AC008581.2,9.16E-01,9.74E-01,4.55E+00,4.55E+00,6.07E+00,1.33E+00
AL590399.1,3.40E-02,1.85E-01,4.48E+00,4.48E+00,3.02E+00,6.74E-01
MANSC1,5.03E-03,5.35E-02,4.40E+00,4.40E+00,4.34E+00,9.87E-01
FRMD4B,6.86E-09,1.71E-06,4.39E+00,4.39E+00,9.36E+00,2.13E+00
AL121594.1,2.84E-02,1.65E-01,4.39E+00,4.39E+00,3.40E+00,7.74E-01
SARM1,1.39E-06,1.18E-04,4.38E+00,4.38E+00,8.30E+00,1.90E+00
NOTCH3,2.03E-03,2.85E-02,4.32E+00,4.32E+00,1.50E+00,3.49E-01
SMPDL3B,6.33E-03,6.31E-02,4.26E+00,4.26E+00,4.01E+00,9.41E-01
KCNJ2,1.70E-03,2.52E-02,4.26E+00,4.26E+00,1.49E+00,3.49E-01
SLC9A3R2,2.43E-09,7.96E-07,4.22E+00,4.22E+00,3.09E+01,7.32E+00
CYP3A5,1.54E-03,2.39E-02,4.19E+00,4.19E+00,3.97E+00,9.49E-01
ADSSL1,1.15E-05,5.59E-04,4.17E+00,4.17E+00,3.83E+00,9.20E-01
CYP1B1,2.28E-13,2.59E-10,4.14E+00,4.14E+00,9.93E+01,2.40E+01
CCL2,1.46E-01,4.35E-01,4.12E+00,4.12E+00,1.27E+01,3.08E+00
IGFBP3,1.83E-06,1.40E-04,4.07E+00,4.07E+00,3.18E+01,7.82E+00
ANXA1,3.52E-14,5.49E-11,4.06E+00,4.06E+00,7.83E+02,1.93E+02
PMS2P6,3.38E-02,1.84E-01,4.05E+00,4.05E+00,7.45E+00,1.84E+00
AC211476.3,7.57E-02,3.02E-01,4.05E+00,4.05E+00,5.29E+00,1.31E+00
CDH1,1.76E-03,2.58E-02,4.04E+00,4.04E+00,2.89E+01,7.14E+00
ID2,3.18E-06,2.09E-04,4.04E+00,4.04E+00,1.43E+02,3.54E+01
DNAJC6,8.88E-05,2.87E-03,3.92E+00,3.92E+00,2.28E+00,5.81E-01
SLC27A3,3.22E-04,7.62E-03,3.91E+00,3.91E+00,3.56E+00,9.11E-01
ASPHD1,2.47E-03,3.25E-02,3.91E+00,3.91E+00,1.04E+01,2.67E+00
PCDH9,3.49E-09,1.06E-06,3.82E+00,3.82E+00,3.84E+02,1.01E+02
SNORD3B-2,1.24E-04,3.78E-03,3.82E+00,3.82E+00,1.92E+02,5.04E+01
SNORD3B-1,1.24E-04,3.78E-03,3.82E+00,3.82E+00,1.92E+02,5.04E+01
PDK4,1.46E-05,6.68E-04,3.78E+00,3.78E+00,4.06E+01,1.07E+01
FGFR1,1.91E-15,3.40E-12,3.68E+00,3.68E+00,1.78E+02,4.83E+01
CCDC68,1.52E-05,6.87E-04,3.68E+00,3.68E+00,1.40E+01,3.80E+00
FZD8,3.74E-01,6.97E-01,3.65E+00,3.65E+00,5.43E+00,1.49E+00
CA12,6.88E-13,6.60E-10,3.65E+00,3.65E+00,5.71E+02,1.57E+02
SYNPO2,2.56E-01,5.78E-01,3.61E+00,3.61E+00,8.94E+00,2.48E+00
FAT4,9.66E-05,3.08E-03,3.54E+00,3.54E+00,3.36E+00,9.48E-01
CFH,3.42E-01,6.69E-01,3.54E+00,3.54E+00,2.83E+01,8.00E+00
LINC00173,9.17E-06,4.87E-04,3.51E+00,3.51E+00,8.16E+00,2.32E+00
TBX18,3.80E-06,2.40E-04,3.50E+00,3.50E+00,1.30E+01,3.70E+00
NOVA1,4.83E-06,2.94E-04,3.44E+00,3.44E+00,1.15E+01,3.35E+00
MLLT3,2.97E-12,2.65E-09,3.42E+00,3.42E+00,5.95E+01,1.74E+01
GABARAPL1,5.13E-09,1.36E-06,3.41E+00,3.41E+00,2.11E+01,6.18E+00
FYN,4.85E-01,7.77E-01,3.40E+00,3.40E+00,1.48E+00,4.36E-01
CGN,4.99E-03,5.32E-02,3.39E+00,3.39E+00,5.83E+00,1.72E+00
DHRS2,9.39E-03,8.11E-02,3.36E+00,3.36E+00,1.25E+01,3.71E+00
DUSP8,7.46E-05,2.49E-03,3.34E+00,3.34E+00,6.31E+00,1.89E+00
POC1B-AS1,3.34E-04,7.82E-03,3.30E+00,3.30E+00,4.41E+00,1.34E+00
NPM1P40,5.62E-05,1.99E-03,3.23E+00,3.23E+00,1.03E+01,3.20E+00
RDH10,1.87E-05,8.11E-04,3.22E+00,3.22E+00,1.45E+01,4.50E+00
RASSF9,3.93E-01,7.14E-01,3.21E+00,3.21E+00,5.45E+00,1.70E+00
S100P,3.18E-01,6.47E-01,3.21E+00,3.21E+00,6.85E+00,2.13E+00
TPPP,1.07E-02,8.79E-02,3.21E+00,3.21E+00,4.45E+00,1.39E+00
GPX2,1.58E-05,7.13E-04,3.21E+00,3.21E+00,1.39E+02,4.34E+01
SLC25A30,5.80E-04,1.20E-02,3.21E+00,3.21E+00,2.45E+00,7.63E-01
SPP1,3.47E-01,6.74E-01,3.21E+00,3.21E+00,1.20E+02,3.76E+01
GOLGA8A,3.54E-01,6.79E-01,3.20E+00,3.20E+00,5.85E+00,1.83E+00
CDH6,2.82E-03,3.57E-02,3.19E+00,3.19E+00,3.58E+00,1.12E+00
KREMEN1,3.02E-04,7.26E-03,3.19E+00,3.19E+00,3.55E+00,1.11E+00
ETV1,3.69E-01,6.94E-01,3.17E+00,3.17E+00,6.11E+00,1.92E+00
SELENBP1,3.04E-05,1.21E-03,3.17E+00,3.17E+00,7.76E+00,2.45E+00
AC007773.1,2.58E-02,1.56E-01,3.17E+00,3.17E+00,2.42E+00,7.65E-01
MMD,1.87E-08,3.82E-06,3.14E+00,3.14E+00,4.34E+01,1.38E+01
RHOQP3,5.20E-01,8.00E-01,3.14E+00,3.14E+00,6.04E+00,1.92E+00
AC025171.2,7.88E-03,7.27E-02,3.10E+00,3.10E+00,2.17E+00,6.99E-01
AC107959.4,8.38E-03,7.54E-02,3.09E+00,3.09E+00,3.50E+00,1.13E+00
RGPD6,8.51E-03,7.60E-02,3.09E+00,3.09E+00,7.05E+00,2.28E+00
FLVCR2,2.47E-03,3.25E-02,3.09E+00,3.09E+00,3.83E+00,1.24E+00
AGR2,3.49E-01,6.75E-01,3.08E+00,3.08E+00,8.80E+01,2.85E+01
KCTD6,6.72E-02,2.82E-01,3.06E+00,3.06E+00,2.17E+00,7.08E-01
AC010460.3,6.83E-03,6.62E-02,3.05E+00,3.05E+00,4.92E+00,1.61E+00
IFIH1,3.96E-01,7.16E-01,3.05E+00,3.05E+00,2.98E+00,9.78E-01
EDARADD,4.40E-01,7.49E-01,3.05E+00,3.05E+00,2.37E+01,7.77E+00
ITGA1,7.34E-05,2.45E-03,3.05E+00,3.05E+00,3.45E+00,1.13E+00
DUSP5,6.58E-05,2.24E-03,3.04E+00,3.04E+00,1.26E+01,4.14E+00
DKK1,1.54E-02,1.12E-01,3.04E+00,3.04E+00,7.15E+01,2.35E+01
FYB1,3.62E-01,6.87E-01,3.04E+00,3.04E+00,3.47E+01,1.14E+01
AC012321.1,4.84E-01,7.76E-01,3.04E+00,3.04E+00,2.32E+00,7.64E-01
TENM3,4.05E-01,7.22E-01,3.04E+00,3.04E+00,3.33E+01,1.10E+01
LPCAT2,1.73E-05,7.61E-04,2.98E+00,2.98E+00,6.30E+00,2.12E+00
SP140L,4.37E-08,7.17E-06,2.97E+00,2.97E+00,8.51E+00,2.86E+00
C1DP1,3.98E-03,4.59E-02,2.97E+00,2.97E+00,8.71E+00,2.94E+00
ANGPT1,3.79E-01,7.01E-01,2.97E+00,2.97E+00,3.53E+00,1.19E+00
GALNT4,7.30E-07,7.06E-05,2.95E+00,2.95E+00,1.11E+01,3.77E+00
CXXC5,2.47E-06,1.78E-04,2.94E+00,2.94E+00,9.45E+01,3.21E+01
PIEZO2,8.19E-03,7.45E-02,2.94E+00,2.94E+00,7.40E+00,2.52E+00
IFNGR1,2.18E-02,1.40E-01,2.93E+00,2.93E+00,3.88E+00,1.32E+00
ALDH1L2,7.91E-05,2.60E-03,2.90E+00,2.90E+00,5.78E+00,1.99E+00
AC005837.1,1.43E-02,1.08E-01,2.89E+00,2.89E+00,2.04E+00,7.07E-01
ANXA4,4.88E-05,1.76E-03,2.88E+00,2.88E+00,9.77E+01,3.40E+01
AC093827.4,2.58E-03,3.37E-02,2.84E+00,2.84E+00,3.07E+00,1.08E+00
KRT18P13,4.38E-01,7.47E-01,2.81E+00,2.81E+00,6.26E+00,2.23E+00
RHOB,9.24E-07,8.54E-05,2.81E+00,2.81E+00,3.44E+01,1.22E+01
OSGIN2,1.02E-06,9.20E-05,2.81E+00,2.81E+00,6.18E+01,2.20E+01
SNORD3C,6.71E-04,1.33E-02,2.80E+00,2.80E+00,5.73E+02,2.05E+02
STEAP1,5.52E-01,8.18E-01,2.78E+00,2.78E+00,3.75E+01,1.35E+01
CPEB4,9.80E-09,2.22E-06,2.76E+00,2.76E+00,5.30E+01,1.92E+01
CD24,6.27E-11,3.56E-08,2.75E+00,2.75E+00,4.54E+02,1.65E+02
ENDOD1,4.45E-07,4.75E-05,2.75E+00,2.75E+00,3.00E+01,1.09E+01
DUTP5,5.01E-02,2.36E-01,2.75E+00,2.75E+00,2.77E+00,1.01E+00
CDKN1C,8.19E-03,7.45E-02,2.74E+00,2.74E+00,2.73E+00,9.96E-01
TTLL7,1.32E-05,6.27E-04,2.73E+00,2.73E+00,8.29E+00,3.03E+00
HSP90AB2P,8.07E-03,7.38E-02,2.73E+00,2.73E+00,2.74E+00,1.00E+00
LRRIQ1,3.97E-01,7.16E-01,2.72E+00,2.72E+00,8.42E+00,3.09E+00
MGAT4A,3.76E-02,1.96E-01,2.72E+00,2.72E+00,3.42E+00,1.26E+00
RPL23AP57,5.01E-03,5.33E-02,2.71E+00,2.71E+00,6.08E+00,2.24E+00
ERBB3,2.33E-03,3.13E-02,2.71E+00,2.71E+00,3.48E+00,1.29E+00
APOBEC3F,6.67E-04,1.33E-02,2.71E+00,2.71E+00,2.89E+00,1.07E+00
PTPRJ,3.48E-05,1.34E-03,2.70E+00,2.70E+00,1.63E+01,6.06E+00
UMAD1,2.63E-02,1.58E-01,2.68E+00,2.68E+00,3.83E+00,1.43E+00
AGFG2,5.60E-06,3.26E-04,2.68E+00,2.68E+00,1.50E+01,5.60E+00
MAP2,2.02E-02,1.34E-01,2.67E+00,2.67E+00,2.07E+00,7.75E-01
RNASE4,2.66E-02,1.59E-01,2.66E+00,2.66E+00,4.02E+00,1.51E+00
SYNC,1.19E-04,3.65E-03,2.65E+00,2.65E+00,5.73E+00,2.16E+00
GTF2IP4,1.69E-03,2.52E-02,2.64E+00,2.64E+00,3.37E+01,1.28E+01
CAVIN2,9.82E-08,1.42E-05,2.63E+00,2.63E+00,3.42E+01,1.30E+01
MYRF,1.55E-01,4.48E-01,2.62E+00,2.62E+00,3.05E+01,1.16E+01
LINC01003,2.07E-01,5.21E-01,2.61E+00,2.61E+00,1.29E+00,4.93E-01
SNORA11F,2.83E-02,1.65E-01,2.61E+00,2.61E+00,3.62E+00,1.39E+00
SLITRK6,5.10E-02,2.39E-01,2.60E+00,2.60E+00,1.08E+00,4.17E-01
FRMD3,2.30E-01,5.49E-01,2.60E+00,2.60E+00,2.24E+00,8.62E-01
SOBP,1.66E-02,1.18E-01,2.60E+00,2.60E+00,2.61E+00,1.00E+00
GGT7,8.65E-03,7.67E-02,2.59E+00,2.59E+00,2.49E+00,9.59E-01
GAREM1,3.37E-03,4.05E-02,2.59E+00,2.59E+00,3.73E+00,1.44E+00
FGFR4,5.90E-01,8.41E-01,2.57E+00,2.57E+00,1.44E+01,5.59E+00
AK4,1.19E-05,5.77E-04,2.57E+00,2.57E+00,3.15E+01,1.22E+01
A4GALT,9.45E-04,1.68E-02,2.57E+00,2.57E+00,5.20E+00,2.02E+00
SCARNA13,5.07E-04,1.09E-02,2.56E+00,2.56E+00,7.02E+00,2.74E+00
TRANK1,1.30E-01,4.09E-01,2.55E+00,2.55E+00,1.63E+00,6.40E-01
OAS1,5.87E-01,8.39E-01,2.55E+00,2.55E+00,9.73E+00,3.82E+00
HILPDA,5.54E-10,2.23E-07,2.54E+00,2.54E+00,1.07E+02,4.19E+01
DUSP16,1.42E-05,6.51E-04,2.53E+00,2.53E+00,2.56E+01,1.01E+01
DCDC2,5.18E-01,7.99E-01,2.53E+00,2.53E+00,6.70E+01,2.65E+01
WDPCP,6.05E-03,6.07E-02,2.52E+00,2.52E+00,2.66E+00,1.05E+00
ANKRD20A5P,5.71E-04,1.19E-02,2.52E+00,2.52E+00,8.89E+00,3.52E+00
ZNF704,1.07E-06,9.46E-05,2.52E+00,2.52E+00,1.30E+01,5.18E+00
TEP1,1.18E-02,9.41E-02,2.51E+00,2.51E+00,2.16E+00,8.60E-01
MAP3K1,1.80E-06,1.39E-04,2.51E+00,2.51E+00,2.67E+01,1.07E+01
MPRIPP1,6.85E-03,6.63E-02,2.50E+00,2.50E+00,1.58E+01,6.33E+00
AXIN2,8.45E-03,7.58E-02,2.50E+00,2.50E+00,9.70E+00,3.88E+00
ZKSCAN2,2.04E-03,2.86E-02,2.49E+00,2.49E+00,4.64E+00,1.87E+00
TMED7-TICAM2,7.51E-01,9.10E-01,2.48E+00,2.48E+00,2.88E+00,1.16E+00
LGALS9,6.98E-01,8.87E-01,2.48E+00,2.48E+00,2.80E+00,1.13E+00
ZNF589,2.16E-03,2.96E-02,2.48E+00,2.48E+00,3.64E+00,1.47E+00
GLRX,7.06E-03,6.77E-02,2.47E+00,2.47E+00,1.69E+01,6.84E+00
ITPR1,6.11E-04,1.25E-02,2.47E+00,2.47E+00,5.33E+00,2.16E+00
MIR4453HG,2.25E-02,1.43E-01,2.47E+00,2.47E+00,1.22E+00,4.94E-01
SULT1A1,7.40E-03,6.98E-02,2.47E+00,2.47E+00,5.58E+00,2.26E+00
FYCO1,1.39E-05,6.46E-04,2.47E+00,2.47E+00,7.01E+00,2.84E+00
SLC40A1,8.51E-03,7.60E-02,2.46E+00,2.46E+00,4.10E+00,1.67E+00
PNRC2P1,2.84E-01,6.11E-01,2.46E+00,2.46E+00,7.09E+00,2.88E+00
RAP1GAP2,2.39E-01,5.58E-01,2.46E+00,2.46E+00,2.85E+00,1.16E+00
HR,1.30E-02,1.01E-01,2.46E+00,2.46E+00,7.46E+00,3.04E+00
SEMA3B,2.59E-03,3.37E-02,2.45E+00,2.45E+00,4.36E+00,1.78E+00
CXADR,5.94E-07,5.93E-05,2.45E+00,2.45E+00,3.48E+01,1.42E+01
PLD1,1.15E-05,5.59E-04,2.45E+00,2.45E+00,1.84E+01,7.53E+00
SH3BGRL2,2.79E-02,1.64E-01,2.45E+00,2.45E+00,3.38E+00,1.38E+00
SLC12A2,4.21E-09,1.17E-06,2.44E+00,2.44E+00,1.76E+02,7.22E+01
ANG,3.28E-02,1.81E-01,2.44E+00,2.44E+00,4.53E+00,1.86E+00
CAMK2N2,1.14E-02,9.23E-02,2.44E+00,2.44E+00,1.89E+00,7.75E-01
AC005829.1,1.02E-02,8.53E-02,2.44E+00,2.44E+00,3.09E+00,1.27E+00
MTM1,3.90E-02,2.01E-01,2.43E+00,2.43E+00,2.94E+00,1.21E+00
AC026250.1,3.13E-02,1.76E-01,2.43E+00,2.43E+00,1.72E+00,7.06E-01
RNASEL,2.02E-03,2.85E-02,2.43E+00,2.43E+00,6.33E+00,2.60E+00
SLC45A4,4.67E-04,1.02E-02,2.42E+00,2.42E+00,1.38E+01,5.72E+00
C18orf32,1.44E-03,2.27E-02,2.42E+00,2.42E+00,2.39E+01,9.90E+00
AP001462.1,8.73E-03,7.72E-02,2.41E+00,2.41E+00,2.38E+00,9.87E-01
CCNYL1,7.86E-07,7.43E-05,2.41E+00,2.41E+00,4.27E+01,1.77E+01
PLXNA2,2.20E-02,1.41E-01,2.41E+00,2.41E+00,2.42E+00,1.01E+00
PLA2G4A,2.15E-02,1.40E-01,2.40E+00,2.40E+00,6.00E+00,2.50E+00
AC083843.3,7.17E-02,2.91E-01,2.40E+00,2.40E+00,1.95E+00,8.13E-01
AC087388.1,1.50E-02,1.11E-01,2.39E+00,2.39E+00,4.29E+00,1.79E+00
MID1,8.73E-14,1.09E-10,2.39E+00,2.39E+00,2.02E+02,8.45E+01
GBP2,2.13E-02,1.39E-01,2.39E+00,2.39E+00,2.44E+00,1.02E+00
STAT4,4.99E-01,7.84E-01,2.38E+00,2.38E+00,3.62E+00,1.52E+00
AKAP12,2.01E-11,1.47E-08,2.38E+00,2.38E+00,4.20E+02,1.77E+02
ST3GAL1,2.91E-06,1.97E-04,2.38E+00,2.38E+00,1.66E+01,6.97E+00
STAC,5.06E-01,7.90E-01,2.37E+00,2.37E+00,2.18E+00,9.19E-01
RGS14,1.07E-01,3.66E-01,2.37E+00,2.37E+00,3.69E+00,1.56E+00
KCNB1,1.11E-01,3.75E-01,2.36E+00,2.36E+00,1.33E+00,5.61E-01
VTI1BP1,5.09E-03,5.37E-02,2.36E+00,2.36E+00,3.33E+00,1.41E+00
MIR1248,9.00E-04,1.63E-02,2.36E+00,2.36E+00,9.60E+01,4.06E+01
TNNT1,3.18E-06,2.09E-04,2.36E+00,2.36E+00,5.86E+01,2.48E+01
BCL6,2.99E-04,7.22E-03,2.35E+00,2.35E+00,6.42E+00,2.73E+00
AMOTL1,1.89E-05,8.19E-04,2.35E+00,2.35E+00,2.80E+01,1.19E+01
AR,2.60E-10,1.20E-07,2.34E+00,2.34E+00,8.88E+01,3.79E+01
TMEM37,2.15E-03,2.96E-02,2.34E+00,2.34E+00,8.63E+00,3.70E+00
PCLO,4.76E-01,7.71E-01,2.33E+00,2.33E+00,2.71E+01,1.16E+01
RPL23AP3,6.63E-03,6.50E-02,2.33E+00,2.33E+00,1.22E+01,5.24E+00
SNORD3A,6.90E-04,1.36E-02,2.32E+00,2.32E+00,7.03E+02,3.03E+02
CPA4,8.55E-03,7.61E-02,2.32E+00,2.32E+00,6.41E+00,2.77E+00
MICAL1,3.69E-03,4.35E-02,2.30E+00,2.30E+00,3.17E+00,1.37E+00
CLMN,3.02E-07,3.55E-05,2.30E+00,2.30E+00,5.07E+01,2.20E+01
PNPT1P1,1.41E-02,1.06E-01,2.30E+00,2.30E+00,1.87E+00,8.14E-01
AHR,5.19E-07,5.22E-05,2.30E+00,2.30E+00,3.29E+01,1.43E+01
PLXNB1,9.33E-04,1.67E-02,2.30E+00,2.30E+00,5.51E+00,2.40E+00
TTC39B,1.67E-03,2.50E-02,2.29E+00,2.29E+00,2.93E+00,1.28E+00
ARHGAP24,1.93E-03,2.76E-02,2.28E+00,2.28E+00,6.81E+00,2.98E+00
ZSCAN21,1.51E-02,1.12E-01,2.28E+00,2.28E+00,3.60E+00,1.58E+00
AC009779.2,1.75E-02,1.22E-01,2.27E+00,2.27E+00,3.36E+00,1.48E+00
RNF19A,3.64E-09,1.08E-06,2.27E+00,2.27E+00,5.95E+01,2.62E+01
AC135279.2,5.85E-03,5.95E-02,2.27E+00,2.27E+00,5.11E+00,2.25E+00
AC078817.1,4.29E-02,2.13E-01,2.26E+00,2.26E+00,2.04E+00,9.01E-01
ETFDH,8.48E-03,7.59E-02,2.26E+00,2.26E+00,3.70E+00,1.64E+00
ABCG2,6.25E-01,8.55E-01,2.26E+00,2.26E+00,3.36E+01,1.49E+01
PRKAG2,1.39E-05,6.46E-04,2.25E+00,2.25E+00,2.17E+01,9.63E+00
AKAP5,4.41E-02,2.17E-01,2.25E+00,2.25E+00,4.33E+00,1.93E+00
BIRC3,7.97E-10,3.10E-07,2.25E+00,2.25E+00,7.96E+01,3.54E+01
MAFK,1.98E-06,1.49E-04,2.25E+00,2.25E+00,8.70E+01,3.87E+01
AC025423.2,2.81E-02,1.65E-01,2.24E+00,2.24E+00,5.20E+00,2.32E+00
SLC2A3,9.22E-06,4.87E-04,2.24E+00,2.24E+00,3.43E+01,1.53E+01
ERN1,1.27E-03,2.08E-02,2.24E+00,2.24E+00,7.66E+00,3.43E+00
MATN2,1.48E-03,2.32E-02,2.23E+00,2.23E+00,5.00E+00,2.25E+00
CNKSR2,4.40E-03,4.91E-02,2.23E+00,2.23E+00,3.74E+01,1.68E+01
PPFIA3,1.08E-01,3.68E-01,2.21E+00,2.21E+00,2.19E+00,9.90E-01
SEZ6L2,1.68E-04,4.60E-03,2.21E+00,2.21E+00,2.93E+01,1.32E+01
AC091492.1,2.35E-02,1.47E-01,2.21E+00,2.21E+00,7.50E+00,3.39E+00
USP53,1.25E-07,1.77E-05,2.21E+00,2.21E+00,4.53E+01,2.05E+01
AL353729.1,4.51E-02,2.21E-01,2.21E+00,2.21E+00,6.04E+00,2.74E+00
CASTOR3,3.54E-07,3.98E-05,2.20E+00,2.20E+00,2.87E+01,1.30E+01
RBBP4P2,1.55E-01,4.47E-01,2.20E+00,2.20E+00,1.86E+00,8.43E-01
KBTBD3,1.13E-02,9.17E-02,2.20E+00,2.20E+00,2.09E+00,9.48E-01
CPLX2,5.10E-01,7.93E-01,2.20E+00,2.20E+00,3.04E+02,1.38E+02
SAMD9L,2.36E-02,1.47E-01,2.19E+00,2.19E+00,9.50E-01,4.35E-01
KCTD12,5.96E-03,6.01E-02,2.19E+00,2.19E+00,4.31E+00,1.97E+00
FZD7,1.13E-02,9.18E-02,2.18E+00,2.18E+00,3.57E+00,1.64E+00
AC099677.1,2.08E-01,5.22E-01,2.18E+00,2.18E+00,2.22E+00,1.02E+00
ZNF467,3.58E-02,1.90E-01,2.18E+00,2.18E+00,3.16E+00,1.45E+00
AC027097.1,1.84E-01,4.92E-01,2.17E+00,2.17E+00,2.57E+00,1.18E+00
SLC41A2,2.77E-04,6.80E-03,2.17E+00,2.17E+00,1.16E+01,5.36E+00
ATOH8,5.12E-01,7.93E-01,2.17E+00,2.17E+00,1.98E+00,9.11E-01
FBXO16,5.33E-01,8.08E-01,2.17E+00,2.17E+00,6.20E+00,2.86E+00
NUPR1,1.59E-04,4.42E-03,2.17E+00,2.17E+00,1.08E+01,5.01E+00
STAT1,7.09E-09,1.73E-06,2.16E+00,2.16E+00,1.19E+02,5.52E+01
CYP2S1,8.85E-03,7.78E-02,2.16E+00,2.16E+00,1.99E+01,9.19E+00
ARID5B,1.03E-04,3.25E-03,2.16E+00,2.16E+00,8.44E+00,3.90E+00
C4orf33,4.86E-03,5.22E-02,2.16E+00,2.16E+00,3.51E+00,1.62E+00
GLIS3,3.10E-07,3.62E-05,2.16E+00,2.16E+00,4.95E+01,2.29E+01
EIF2S2P2,8.65E-03,7.67E-02,2.16E+00,2.16E+00,7.04E+00,3.27E+00
AC006453.2,1.81E-01,4.88E-01,2.15E+00,2.15E+00,8.87E+00,4.12E+00
ID1,7.03E-03,6.76E-02,2.15E+00,2.15E+00,8.64E+01,4.01E+01
ZNF239,5.41E-02,2.48E-01,2.15E+00,2.15E+00,3.78E+00,1.76E+00
PNMA2,5.30E-05,1.89E-03,2.14E+00,2.14E+00,1.46E+01,6.80E+00
AC027290.2,2.46E-02,1.51E-01,2.14E+00,2.14E+00,2.61E+00,1.22E+00
LINC01504,7.21E-02,2.92E-01,2.14E+00,2.14E+00,3.65E+00,1.71E+00
CRADD,1.81E-02,1.25E-01,2.14E+00,2.14E+00,3.18E+00,1.49E+00
FLRT3,3.14E-03,3.85E-02,2.13E+00,2.13E+00,1.59E+01,7.44E+00
