Gene symbol,P-value (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),FDR step up (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),Ratio (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),Fold change (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),LSMean(A549-Cas9-Veh) (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),LSMean(A549-LIMD1KO-C5-Veh) (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),
GABBR1,5.62E-01,8.41E-01,1.25E+00,1.25E+00,3.45E+00,2.76E+00,0.324419562
TMEM143,2.51E-01,5.98E-01,1.25E+00,1.25E+00,8.55E+00,6.83E+00,0.324417236
SPOP,1.90E-02,1.46E-01,1.25E+00,1.25E+00,9.42E+01,7.52E+01,0.324211203
DPCD,1.63E-01,4.86E-01,1.25E+00,1.25E+00,1.21E+01,9.66E+00,0.324040785
RFNG,2.23E-01,5.68E-01,1.25E+00,1.25E+00,1.96E+01,1.56E+01,0.324001527
STEAP3,5.77E-01,8.47E-01,1.25E+00,1.25E+00,1.10E+01,8.75E+00,0.323838051
ST3GAL1,1.05E-01,3.95E-01,1.25E+00,1.25E+00,1.66E+01,1.32E+01,0.323703292
WBP11P1,2.07E-01,5.50E-01,1.25E+00,1.25E+00,1.21E+01,9.71E+00,0.323640409
PCOLCE,4.75E-01,7.86E-01,1.25E+00,1.25E+00,1.91E+00,1.52E+00,0.323523808
OSBPL10,5.76E-02,2.87E-01,1.25E+00,1.25E+00,1.43E+01,1.15E+01,0.323437354
UBXN1,1.00E-02,9.80E-02,1.25E+00,1.25E+00,6.97E+01,5.57E+01,0.323298747
XRCC1,2.32E-01,5.79E-01,1.25E+00,1.25E+00,1.76E+01,1.41E+01,0.323169389
CLIP1,1.97E-03,3.24E-02,1.25E+00,1.25E+00,2.02E+02,1.62E+02,0.323085256
FLII,1.96E-02,1.50E-01,1.25E+00,1.25E+00,6.39E+01,5.11E+01,0.322822882
CLN5,6.28E-01,8.73E-01,1.25E+00,1.25E+00,1.09E+01,8.71E+00,0.322794428
ENAH,1.08E-03,2.09E-02,1.25E+00,1.25E+00,2.52E+02,2.02E+02,0.322592701
PNPLA8,1.42E-01,4.59E-01,1.25E+00,1.25E+00,1.98E+01,1.58E+01,0.322575931
BRAP,1.07E-01,3.98E-01,1.25E+00,1.25E+00,1.52E+01,1.21E+01,0.322477609
AC126474.1,7.23E-01,9.19E-01,1.25E+00,1.25E+00,3.27E+00,2.62E+00,0.322431751
ADAT1,1.45E-01,4.65E-01,1.25E+00,1.25E+00,2.12E+01,1.69E+01,0.322373723
PPIB,7.79E-02,3.39E-01,1.25E+00,1.25E+00,6.49E+01,5.19E+01,0.322238995
CLK2,3.70E-02,2.20E-01,1.25E+00,1.25E+00,1.22E+01,9.75E+00,0.322218151
NRAV,4.25E-01,7.53E-01,1.25E+00,1.25E+00,8.79E+00,7.03E+00,0.322164118
MYBBP1A,2.87E-03,4.22E-02,1.25E+00,1.25E+00,3.83E+01,3.06E+01,0.322062723
COG5,1.02E-01,3.90E-01,1.25E+00,1.25E+00,8.75E+00,7.00E+00,0.321685246
GMCL1,1.45E-02,1.24E-01,1.25E+00,1.25E+00,2.88E+01,2.30E+01,0.321510451
DDA1,1.71E-01,4.99E-01,1.25E+00,1.25E+00,3.80E+01,3.04E+01,0.321427386
IQCH,7.63E-01,9.33E-01,1.25E+00,1.25E+00,1.45E+00,1.16E+00,0.321357433
GPN1,5.06E-02,2.66E-01,1.25E+00,1.25E+00,3.29E+01,2.64E+01,0.321346998
VAMP4,3.73E-01,7.15E-01,1.25E+00,1.25E+00,5.71E+00,4.57E+00,0.320895267
MYO5C,1.53E-01,4.75E-01,1.25E+00,1.25E+00,3.47E+01,2.77E+01,0.320814628
STK4,2.53E-03,3.87E-02,1.25E+00,1.25E+00,5.92E+01,4.74E+01,0.320734958
EFEMP1,3.19E-01,6.66E-01,1.25E+00,1.25E+00,2.64E+00,2.11E+00,0.320665116
PET117,4.81E-02,2.58E-01,1.25E+00,1.25E+00,1.84E+01,1.48E+01,0.320527363
CALD1,1.60E-03,2.79E-02,1.25E+00,1.25E+00,2.86E+02,2.29E+02,0.320274281
AUP1,4.01E-02,2.30E-01,1.25E+00,1.25E+00,1.33E+02,1.06E+02,0.3198697
IFNAR2,9.98E-02,3.84E-01,1.25E+00,1.25E+00,2.44E+01,1.96E+01,0.319848078
C3orf33,2.39E-01,5.85E-01,1.25E+00,1.25E+00,9.75E+00,7.82E+00,0.319768049
TOLLIP,8.61E-02,3.58E-01,1.25E+00,1.25E+00,2.66E+01,2.13E+01,0.319644882
TAF1B,2.61E-02,1.79E-01,1.25E+00,1.25E+00,3.64E+01,2.91E+01,0.319461911
ATG12,7.62E-02,3.34E-01,1.25E+00,1.25E+00,6.30E+01,5.05E+01,0.319221439
ZSWIM7,3.99E-02,2.30E-01,1.25E+00,1.25E+00,3.42E+01,2.74E+01,0.319204484
ZC4H2,4.71E-01,7.83E-01,1.25E+00,1.25E+00,2.29E+00,1.84E+00,0.319111068
ANXA3,9.66E-01,9.93E-01,1.25E+00,1.25E+00,2.57E+01,2.06E+01,0.318901309
GCLC,5.52E-04,1.30E-02,1.25E+00,1.25E+00,6.91E+01,5.54E+01,0.318656444
NIPSNAP1,9.27E-03,9.37E-02,1.25E+00,1.25E+00,6.13E+01,4.91E+01,0.318507903
IGBP1P1,6.01E-01,8.60E-01,1.25E+00,1.25E+00,1.47E+00,1.18E+00,0.318504414
GSR,6.68E-02,3.11E-01,1.25E+00,1.25E+00,1.29E+02,1.04E+02,0.318039039
AKR1C2,1.97E-01,5.39E-01,1.25E+00,1.25E+00,1.73E+03,1.39E+03,0.318033926
AC090281.1,2.04E-01,5.47E-01,1.25E+00,1.25E+00,2.52E+01,2.02E+01,0.31800777
ZNF397,2.20E-01,5.64E-01,1.25E+00,1.25E+00,2.53E+01,2.03E+01,0.318006614
FUT11,7.25E-02,3.25E-01,1.25E+00,1.25E+00,2.60E+01,2.08E+01,0.31784604
RABEP2,1.73E-01,5.04E-01,1.25E+00,1.25E+00,7.67E+00,6.15E+00,0.317634743
RN7SL1,4.19E-01,7.50E-01,1.25E+00,1.25E+00,2.33E+01,1.87E+01,0.317518161
RSPRY1,3.07E-02,1.97E-01,1.25E+00,1.25E+00,3.14E+01,2.52E+01,0.317066828
PTS,5.89E-01,8.54E-01,1.25E+00,1.25E+00,1.06E+01,8.53E+00,0.317045971
TRIT1,4.50E-01,7.70E-01,1.25E+00,1.25E+00,8.42E+00,6.76E+00,0.316974352
ATG13,1.29E-01,4.40E-01,1.25E+00,1.25E+00,1.36E+01,1.10E+01,0.316947277
ZPR1,1.11E-02,1.04E-01,1.25E+00,1.25E+00,2.80E+01,2.25E+01,0.316846466
SPAG1,9.55E-02,3.78E-01,1.25E+00,1.25E+00,2.61E+01,2.09E+01,0.316797892
GTPBP2,6.44E-01,8.80E-01,1.25E+00,1.25E+00,1.02E+00,8.19E-01,0.316796986
PAIP2,1.03E-02,9.98E-02,1.25E+00,1.25E+00,5.69E+01,4.57E+01,0.316513202
RAB11FIP1,2.62E-02,1.79E-01,1.25E+00,1.25E+00,4.68E+01,3.75E+01,0.316492746
ARNTL2,2.20E-01,5.65E-01,1.25E+00,1.25E+00,1.05E+01,8.43E+00,0.316432289
RABGGTB,2.28E-01,5.74E-01,1.25E+00,1.25E+00,7.83E+00,6.29E+00,0.316242733
AC116913.1,5.13E-01,8.12E-01,1.24E+00,1.24E+00,2.82E+00,2.27E+00,0.316045241
TENT5A,4.12E-02,2.35E-01,1.24E+00,1.24E+00,1.62E+01,1.30E+01,0.315909698
ENKD1,2.90E-01,6.41E-01,1.24E+00,1.24E+00,6.49E+00,5.22E+00,0.315782331
RPS29P5,9.82E-01,9.96E-01,1.24E+00,1.24E+00,2.73E+00,2.19E+00,0.315748347
TMEM256,7.62E-01,9.33E-01,1.24E+00,1.24E+00,3.23E+01,2.59E+01,0.315585832
NBAS,1.38E-02,1.21E-01,1.24E+00,1.24E+00,2.57E+01,2.07E+01,0.31550021
DMAC2,6.44E-02,3.05E-01,1.24E+00,1.24E+00,6.11E+01,4.91E+01,0.315433116
ALKBH5,1.34E-01,4.47E-01,1.24E+00,1.24E+00,4.58E+01,3.68E+01,0.315420849
CCDC22,2.19E-01,5.63E-01,1.24E+00,1.24E+00,5.90E+00,4.74E+00,0.31532515
HDAC8,1.02E-01,3.90E-01,1.24E+00,1.24E+00,2.28E+01,1.83E+01,0.315104307
RABGAP1L,1.35E-01,4.50E-01,1.24E+00,1.24E+00,6.99E+00,5.62E+00,0.315007959
BZW1P2,3.70E-02,2.20E-01,1.24E+00,1.24E+00,3.73E+01,3.00E+01,0.314993071
PCMTD1,2.25E-02,1.63E-01,1.24E+00,1.24E+00,1.93E+01,1.55E+01,0.314751124
RWDD3,3.39E-01,6.84E-01,1.24E+00,1.24E+00,4.53E+00,3.64E+00,0.314680067
PRMT2,8.23E-02,3.49E-01,1.24E+00,1.24E+00,1.11E+02,8.90E+01,0.314365917
METTL23,3.77E-02,2.23E-01,1.24E+00,1.24E+00,4.03E+01,3.24E+01,0.314257231
ENOSF1,2.94E-02,1.91E-01,1.24E+00,1.24E+00,2.47E+01,1.99E+01,0.314039646
MED14,3.13E-02,1.99E-01,1.24E+00,1.24E+00,2.56E+01,2.06E+01,0.313900033
USP31,2.04E-01,5.46E-01,1.24E+00,1.24E+00,1.65E+01,1.33E+01,0.313884121
CARD10,1.17E-01,4.17E-01,1.24E+00,1.24E+00,9.95E+00,8.00E+00,0.313748709
KIAA1551,5.95E-02,2.92E-01,1.24E+00,1.24E+00,4.58E+01,3.68E+01,0.313735806
STAG3L3,2.87E-01,6.39E-01,1.24E+00,1.24E+00,4.43E+01,3.56E+01,0.313611098
PIAS1,7.51E-03,8.20E-02,1.24E+00,1.24E+00,5.03E+01,4.04E+01,0.313481304
AC125238.2,4.94E-01,7.99E-01,1.24E+00,1.24E+00,1.81E+00,1.46E+00,0.313197349
AC087190.3,6.46E-01,8.81E-01,1.24E+00,1.24E+00,1.23E+01,9.91E+00,0.313140286
EXOG,1.73E-01,5.04E-01,1.24E+00,1.24E+00,1.23E+01,9.91E+00,0.313079469
ZNRF2,7.90E-01,9.42E-01,1.24E+00,1.24E+00,2.41E+00,1.94E+00,0.312719316
GXYLT2,2.27E-01,5.73E-01,1.24E+00,1.24E+00,5.89E+00,4.74E+00,0.312690033
RASA4,4.23E-01,7.53E-01,1.24E+00,1.24E+00,2.20E+00,1.77E+00,0.312582177
ACAT2,8.69E-04,1.81E-02,1.24E+00,1.24E+00,4.92E+01,3.96E+01,0.312354115
FAM214B,3.10E-01,6.57E-01,1.24E+00,1.24E+00,1.25E+00,1.00E+00,0.311939329
NPR2,4.55E-01,7.73E-01,1.24E+00,1.24E+00,2.68E+00,2.16E+00,0.31142925
RBM27,1.18E-01,4.20E-01,1.24E+00,1.24E+00,4.54E+01,3.66E+01,0.310762207
LINC01521,2.48E-01,5.96E-01,1.24E+00,1.24E+00,3.84E+00,3.10E+00,0.310532921
OTUB1,1.55E-01,4.78E-01,1.24E+00,1.24E+00,5.27E+01,4.25E+01,0.310504683
ZMYM5,2.97E-01,6.44E-01,1.24E+00,1.24E+00,6.26E+00,5.05E+00,0.310403477
SH3BGRL,9.42E-03,9.44E-02,1.24E+00,1.24E+00,3.41E+01,2.75E+01,0.31039046
TRIM16,2.15E-02,1.58E-01,1.24E+00,1.24E+00,1.36E+02,1.09E+02,0.310344696
HMGB1P21,8.95E-01,9.76E-01,1.24E+00,1.24E+00,6.57E+00,5.30E+00,0.310197128
AC009118.2,6.23E-01,8.71E-01,1.24E+00,1.24E+00,2.10E+00,1.70E+00,0.310146714
LRTOMT,2.86E-01,6.36E-01,1.24E+00,1.24E+00,5.43E+00,4.38E+00,0.309936609
BSCL2,1.21E-01,4.24E-01,1.24E+00,1.24E+00,7.22E+01,5.82E+01,0.309798412
RECQL5,2.29E-01,5.75E-01,1.24E+00,1.24E+00,8.51E+00,6.87E+00,0.309776661
ARL16,3.94E-01,7.32E-01,1.24E+00,1.24E+00,7.93E+00,6.40E+00,0.309732303
DCAF6,5.59E-02,2.83E-01,1.24E+00,1.24E+00,3.25E+01,2.62E+01,0.309721425
NBR1,3.37E-02,2.08E-01,1.24E+00,1.24E+00,5.49E+01,4.43E+01,0.309663187
CDIP1,2.65E-01,6.14E-01,1.24E+00,1.24E+00,1.10E+00,8.90E-01,0.30959969
ZNF512B,2.54E-01,6.03E-01,1.24E+00,1.24E+00,1.42E+01,1.14E+01,0.309415817
TMEM107,1.92E-01,5.32E-01,1.24E+00,1.24E+00,2.72E+01,2.19E+01,0.30940984
NFKB2,2.34E-01,5.80E-01,1.24E+00,1.24E+00,2.35E+01,1.90E+01,0.309160784
PARS2,3.96E-01,7.33E-01,1.24E+00,1.24E+00,2.99E+00,2.41E+00,0.309141457
PCOLCE2,4.21E-01,7.51E-01,1.24E+00,1.24E+00,9.23E+00,7.45E+00,0.309071156
UGP2,1.08E-02,1.02E-01,1.24E+00,1.24E+00,6.75E+01,5.45E+01,0.308831217
MSTO1,8.35E-02,3.52E-01,1.24E+00,1.24E+00,2.76E+01,2.23E+01,0.308734927
ATP6V0A1,6.24E-02,3.00E-01,1.24E+00,1.24E+00,3.14E+01,2.54E+01,0.308100221
FCHSD2,2.04E-01,5.47E-01,1.24E+00,1.24E+00,7.00E+00,5.65E+00,0.308040544
PCAT6,6.15E-01,8.67E-01,1.24E+00,1.24E+00,1.37E+00,1.11E+00,0.307669357
MYORG,2.91E-01,6.41E-01,1.24E+00,1.24E+00,5.79E+00,4.68E+00,0.307617096
DBN1,7.91E-02,3.42E-01,1.24E+00,1.24E+00,2.95E+01,2.39E+01,0.307558905
NUBPL,1.10E-01,4.02E-01,1.24E+00,1.24E+00,2.21E+01,1.78E+01,0.307423141
ABTB2,3.26E-01,6.72E-01,1.24E+00,1.24E+00,7.35E+00,5.94E+00,0.307022519
PRPF8,2.85E-01,6.36E-01,1.24E+00,1.24E+00,9.82E+01,7.94E+01,0.306938138
TSPYL4,9.35E-01,9.84E-01,1.24E+00,1.24E+00,3.42E+00,2.77E+00,0.306929653
AVEN,7.26E-02,3.25E-01,1.24E+00,1.24E+00,2.82E+01,2.28E+01,0.306771103
AURKAPS1,2.95E-01,6.44E-01,1.24E+00,1.24E+00,3.51E+01,2.84E+01,0.306654571
ZNF212,2.08E-01,5.50E-01,1.24E+00,1.24E+00,8.91E+00,7.21E+00,0.306585724
ASIC1,9.89E-01,9.97E-01,1.24E+00,1.24E+00,3.24E+00,2.62E+00,0.306503137
TRADD,4.35E-02,2.43E-01,1.24E+00,1.24E+00,1.79E+01,1.45E+01,0.306426219
GON4L,2.31E-02,1.65E-01,1.24E+00,1.24E+00,3.99E+01,3.23E+01,0.306316746
PDE4DIP,4.22E-01,7.52E-01,1.24E+00,1.24E+00,5.43E+00,4.39E+00,0.30618656
RFXANK,1.98E-01,5.40E-01,1.24E+00,1.24E+00,6.28E+00,5.08E+00,0.306128515
RBMS1,8.37E-03,8.73E-02,1.24E+00,1.24E+00,6.35E+01,5.13E+01,0.305948033
PTK2,1.02E-02,9.89E-02,1.24E+00,1.24E+00,5.50E+01,4.45E+01,0.305597052
SMARCC2,3.74E-02,2.22E-01,1.24E+00,1.24E+00,7.23E+01,5.85E+01,0.305473921
SNRNP27,5.98E-03,6.98E-02,1.24E+00,1.24E+00,7.72E+01,6.25E+01,0.305468853
UCN,5.38E-01,8.25E-01,1.24E+00,1.24E+00,1.70E+00,1.38E+00,0.305467253
SH3BP4,4.58E-01,7.75E-01,1.24E+00,1.24E+00,2.41E+01,1.95E+01,0.305295488
LYRM4,6.18E-02,2.99E-01,1.24E+00,1.24E+00,3.36E+01,2.72E+01,0.305226413
PIDD1,4.43E-01,7.66E-01,1.24E+00,1.24E+00,3.95E+00,3.20E+00,0.305161096
HMGA1,2.58E-02,1.78E-01,1.24E+00,1.24E+00,3.88E+02,3.14E+02,0.305022995
TMEM147-AS1,2.35E-01,5.81E-01,1.24E+00,1.24E+00,7.60E+00,6.15E+00,0.304981037
IFT140,7.43E-01,9.27E-01,1.24E+00,1.24E+00,4.61E+00,3.73E+00,0.304860608
CARS,4.17E-02,2.37E-01,1.24E+00,1.24E+00,9.18E+01,7.43E+01,0.304695644
WDR27,1.29E-01,4.40E-01,1.24E+00,1.24E+00,1.02E+01,8.24E+00,0.304682565
PGGT1B,2.28E-01,5.74E-01,1.23E+00,1.23E+00,1.90E+01,1.54E+01,0.304449279
NECAP2,3.74E-01,7.15E-01,1.23E+00,1.23E+00,9.03E+00,7.31E+00,0.30434048
SQSTM1,1.17E-02,1.08E-01,1.23E+00,1.23E+00,1.15E+03,9.29E+02,0.304193923
FKBP1B,3.23E-01,6.70E-01,1.23E+00,1.23E+00,3.30E+00,2.67E+00,0.304132659
DNAJC17,4.19E-01,7.50E-01,1.23E+00,1.23E+00,3.44E+00,2.78E+00,0.304088349
ARMC8,1.61E-01,4.85E-01,1.23E+00,1.23E+00,1.00E+01,8.13E+00,0.303898116
PDCL3,1.66E-01,4.92E-01,1.23E+00,1.23E+00,1.22E+01,9.91E+00,0.303781307
CCDC28A,1.54E-01,4.77E-01,1.23E+00,1.23E+00,9.88E+00,8.00E+00,0.303756787
NAIF1,2.73E-01,6.23E-01,1.23E+00,1.23E+00,7.43E+00,6.02E+00,0.303574297
NSUN5P2,2.15E-01,5.59E-01,1.23E+00,1.23E+00,1.32E+01,1.07E+01,0.303570876
MT1F,2.22E-01,5.67E-01,1.23E+00,1.23E+00,2.47E+00,2.00E+00,0.303381206
HOXB5,8.99E-01,9.77E-01,1.23E+00,1.23E+00,1.85E+01,1.50E+01,0.303258585
CCS,1.38E-01,4.54E-01,1.23E+00,1.23E+00,1.02E+01,8.29E+00,0.30323605
DHRS4,2.07E-01,5.50E-01,1.23E+00,1.23E+00,2.51E+01,2.03E+01,0.30286068
TMEM177,4.73E-02,2.55E-01,1.23E+00,1.23E+00,1.99E+01,1.62E+01,0.30281549
SMARCA2,7.81E-03,8.39E-02,1.23E+00,1.23E+00,6.70E+01,5.43E+01,0.302652721
SLC38A7,1.03E-01,3.92E-01,1.23E+00,1.23E+00,1.27E+01,1.03E+01,0.302645052
TGFB1,3.90E-01,7.29E-01,1.23E+00,1.23E+00,2.06E+01,1.67E+01,0.302643078
ERGIC3,6.20E-02,2.99E-01,1.23E+00,1.23E+00,4.58E+01,3.72E+01,0.302631922
SMIM7,3.41E-03,4.78E-02,1.23E+00,1.23E+00,3.54E+01,2.87E+01,0.302631491
TACC2,6.34E-02,3.03E-01,1.23E+00,1.23E+00,3.52E+01,2.86E+01,0.302355189
OGDH,6.54E-02,3.07E-01,1.23E+00,1.23E+00,2.68E+01,2.18E+01,0.30175771
CCDC137,1.30E-01,4.42E-01,1.23E+00,1.23E+00,1.10E+02,8.96E+01,0.301753796
GEMIN7,2.05E-01,5.47E-01,1.23E+00,1.23E+00,1.71E+01,1.39E+01,0.301622676
SGSM2,1.44E-01,4.62E-01,1.23E+00,1.23E+00,2.27E+01,1.84E+01,0.301481609
PROSER2,2.31E-01,5.77E-01,1.23E+00,1.23E+00,1.02E+01,8.29E+00,0.301274276
TRAM2,4.51E-02,2.48E-01,1.23E+00,1.23E+00,1.66E+01,1.34E+01,0.301116884
EIF2B4,8.87E-02,3.64E-01,1.23E+00,1.23E+00,4.37E+01,3.55E+01,0.301038785
BNIP3P1,3.76E-01,7.16E-01,1.23E+00,1.23E+00,7.86E+00,6.38E+00,0.300978465
CERS2,9.59E-02,3.78E-01,1.23E+00,1.23E+00,1.88E+01,1.53E+01,0.300969641
ELF4,1.55E-01,4.77E-01,1.23E+00,1.23E+00,2.24E+01,1.82E+01,0.300686721
MMAB,2.87E-02,1.89E-01,1.23E+00,1.23E+00,3.07E+01,2.49E+01,0.300601578
IFIT3,2.32E-01,5.78E-01,1.23E+00,1.23E+00,3.04E+00,2.47E+00,0.300139517
EPN2,1.03E-02,9.98E-02,1.23E+00,1.23E+00,6.68E+01,5.43E+01,0.300026423
COL4A3BP,4.42E-02,2.45E-01,1.23E+00,1.23E+00,4.44E+01,3.60E+01,0.299893273
PPP5C,5.92E-02,2.91E-01,1.23E+00,1.23E+00,2.65E+01,2.15E+01,0.299835366
LNP1,9.27E-01,9.83E-01,1.23E+00,1.23E+00,1.75E+00,1.42E+00,0.299807334
THOC5,9.57E-02,3.78E-01,1.23E+00,1.23E+00,2.17E+01,1.76E+01,0.299521581
AC007240.1,4.54E-01,7.72E-01,1.23E+00,1.23E+00,3.09E+00,2.51E+00,0.29935779
ARL4A,1.98E-02,1.50E-01,1.23E+00,1.23E+00,7.08E+01,5.76E+01,0.299280023
AL355001.2,6.45E-01,8.80E-01,1.23E+00,1.23E+00,1.98E+00,1.61E+00,0.29927574
PRKAG1,1.43E-01,4.61E-01,1.23E+00,1.23E+00,6.16E+01,5.01E+01,0.298893055
RBM45,3.14E-01,6.61E-01,1.23E+00,1.23E+00,6.57E+00,5.34E+00,0.298825226
SLC25A51,4.75E-01,7.86E-01,1.23E+00,1.23E+00,6.38E+00,5.19E+00,0.298802818
GMEB2,1.25E-01,4.31E-01,1.23E+00,1.23E+00,1.03E+01,8.36E+00,0.298735119
TARBP2,1.60E-01,4.84E-01,1.23E+00,1.23E+00,1.74E+01,1.42E+01,0.298727348
AC020978.7,6.84E-01,8.99E-01,1.23E+00,1.23E+00,6.68E+00,5.43E+00,0.298713502
CMTM4,1.30E-01,4.41E-01,1.23E+00,1.23E+00,2.06E+01,1.68E+01,0.298650714
MBNL2,8.23E-02,3.49E-01,1.23E+00,1.23E+00,1.46E+01,1.19E+01,0.298648565
TMEM69,2.91E-01,6.41E-01,1.23E+00,1.23E+00,6.63E+00,5.39E+00,0.298607986
NKX3-1,1.16E-01,4.15E-01,1.23E+00,1.23E+00,8.34E+00,6.78E+00,0.298450007
PRKCA,3.06E-02,1.96E-01,1.23E+00,1.23E+00,3.21E+01,2.61E+01,0.298325365
ZNF587,1.18E-01,4.18E-01,1.23E+00,1.23E+00,3.47E+01,2.82E+01,0.298249668
CCNT2,7.14E-02,3.23E-01,1.23E+00,1.23E+00,1.70E+01,1.38E+01,0.298240778
AC012676.5,5.02E-01,8.04E-01,1.23E+00,1.23E+00,1.55E+00,1.26E+00,0.298142189
RELT,4.28E-01,7.57E-01,1.23E+00,1.23E+00,7.53E+00,6.12E+00,0.29809947
KLHL2,2.94E-01,6.42E-01,1.23E+00,1.23E+00,4.10E+00,3.34E+00,0.29806948
PROSER3,8.50E-02,3.55E-01,1.23E+00,1.23E+00,2.22E+01,1.81E+01,0.297877159
DOCK9,3.82E-01,7.23E-01,1.23E+00,1.23E+00,4.60E+00,3.74E+00,0.297835313
NRIP1,3.33E-02,2.07E-01,1.23E+00,1.23E+00,1.06E+02,8.63E+01,0.29767693
ANKLE2,1.25E-02,1.13E-01,1.23E+00,1.23E+00,6.11E+01,4.97E+01,0.297524694
TMEM251,8.87E-01,9.74E-01,1.23E+00,1.23E+00,3.45E+00,2.81E+00,0.297523783
SNAP23,1.09E-01,4.01E-01,1.23E+00,1.23E+00,1.49E+01,1.21E+01,0.297266156
ACOT9,3.45E-02,2.12E-01,1.23E+00,1.23E+00,4.94E+01,4.02E+01,0.297202918
TFPI,2.41E-01,5.88E-01,1.23E+00,1.23E+00,3.31E+01,2.69E+01,0.297143283
C1orf159,2.89E-01,6.41E-01,1.23E+00,1.23E+00,3.50E+00,2.85E+00,0.296989267
EEF1A1P5,3.86E-01,7.26E-01,1.23E+00,1.23E+00,2.01E+01,1.63E+01,0.29696924
FAM86C2P,3.50E-01,6.95E-01,1.23E+00,1.23E+00,7.41E+00,6.03E+00,0.296838913
B3GAT3,1.05E-01,3.95E-01,1.23E+00,1.23E+00,1.19E+01,9.66E+00,0.296821637
CRYZL2P,9.61E-01,9.92E-01,1.23E+00,1.23E+00,3.80E+00,3.09E+00,0.296815874
ASNS,1.60E-02,1.31E-01,1.23E+00,1.23E+00,4.88E+01,3.97E+01,0.296674411
TLK1,5.57E-03,6.66E-02,1.23E+00,1.23E+00,5.80E+01,4.72E+01,0.296619601
RNF185,2.08E-01,5.50E-01,1.23E+00,1.23E+00,6.33E+00,5.16E+00,0.29651144
SNX17,6.63E-02,3.10E-01,1.23E+00,1.23E+00,5.47E+01,4.45E+01,0.296484243
PPP4R1,2.11E-02,1.56E-01,1.23E+00,1.23E+00,3.23E+01,2.63E+01,0.296360733
PRPF18,1.56E-01,4.79E-01,1.23E+00,1.23E+00,2.25E+01,1.83E+01,0.296080698
TXNDC11,8.23E-01,9.54E-01,1.23E+00,1.23E+00,9.77E+00,7.96E+00,0.296025318
IFT81,8.89E-02,3.64E-01,1.23E+00,1.23E+00,5.26E+01,4.29E+01,0.295931602
HERC2P4,6.97E-01,9.06E-01,1.23E+00,1.23E+00,5.25E+00,4.28E+00,0.29589973
WDR55,6.15E-02,2.98E-01,1.23E+00,1.23E+00,4.44E+01,3.62E+01,0.295882101
COG7,2.01E-01,5.43E-01,1.23E+00,1.23E+00,1.28E+01,1.05E+01,0.295823065
NAGLU,6.62E-02,3.09E-01,1.23E+00,1.23E+00,1.79E+01,1.46E+01,0.295753313
TPRG1L,2.29E-01,5.75E-01,1.23E+00,1.23E+00,1.50E+01,1.22E+01,0.295566681
ANKRD39,3.11E-01,6.58E-01,1.23E+00,1.23E+00,1.51E+01,1.23E+01,0.295552509
RPP40,2.28E-01,5.74E-01,1.23E+00,1.23E+00,1.48E+01,1.21E+01,0.295491078
HOOK3,1.82E-02,1.43E-01,1.23E+00,1.23E+00,8.71E+01,7.10E+01,0.295306025
PDHB,3.75E-01,7.15E-01,1.23E+00,1.23E+00,3.37E+01,2.75E+01,0.295197807
TSPYL2,3.44E-01,6.90E-01,1.23E+00,1.23E+00,5.99E+00,4.88E+00,0.295183903
CDK7,4.04E-01,7.39E-01,1.23E+00,1.23E+00,1.22E+01,9.90E+00,0.294967545
GGA3,7.20E-02,3.24E-01,1.23E+00,1.23E+00,1.57E+01,1.28E+01,0.294890832
NAPRT,8.90E-01,9.74E-01,1.23E+00,1.23E+00,2.65E+00,2.16E+00,0.294502299
FADD,3.24E-02,2.04E-01,1.23E+00,1.23E+00,3.91E+01,3.19E+01,0.294432899
PLEKHJ1,2.25E-01,5.71E-01,1.23E+00,1.23E+00,1.50E+01,1.22E+01,0.294379554
SND1-IT1,5.64E-01,8.41E-01,1.23E+00,1.23E+00,4.41E+00,3.60E+00,0.294333957
C1DP1,5.83E-01,8.51E-01,1.23E+00,1.23E+00,8.71E+00,7.11E+00,0.294266578
AC092106.1,6.82E-01,8.98E-01,1.23E+00,1.23E+00,4.30E+00,3.51E+00,0.294252131
CSRP1,7.05E-03,7.84E-02,1.23E+00,1.23E+00,5.98E+01,4.88E+01,0.294240166
METTL1,1.28E-01,4.39E-01,1.23E+00,1.23E+00,4.00E+01,3.26E+01,0.294237469
SPTBN1,1.38E-02,1.21E-01,1.23E+00,1.23E+00,4.04E+02,3.29E+02,0.294022282
CIAO1,7.30E-02,3.26E-01,1.23E+00,1.23E+00,3.38E+01,2.76E+01,0.293994478
TCEAL9,8.06E-02,3.45E-01,1.23E+00,1.23E+00,9.59E+01,7.82E+01,0.293973376
BIN3,2.55E-01,6.04E-01,1.23E+00,1.23E+00,1.14E+01,9.33E+00,0.293765471
RNF19B,4.05E-01,7.40E-01,1.23E+00,1.23E+00,3.31E+00,2.70E+00,0.293698901
STAT6,7.26E-02,3.26E-01,1.23E+00,1.23E+00,2.48E+01,2.03E+01,0.293679517
