Gene symbol,P-value (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),FDR step up (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),Ratio (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),Fold change (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),LSMean(A549-Cas9-Veh) (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),LSMean(A549-LIMD1KO-C5-Veh) (A549-Cas9-Veh vs. A549-LIMD1KO-C5-Veh),
EPS8,6.39E-12,1.33E-08,3.62E+00,3.62E+00,5.47E+01,1.51E+01,1.857852423
MANSC1,8.65E-03,8.95E-02,3.62E+00,3.62E+00,4.34E+00,1.20E+00,1.854585512
FGFR4,4.69E-01,7.82E-01,3.57E+00,3.57E+00,1.44E+01,4.03E+00,1.835138085
DOK4,2.96E-11,3.70E-08,3.56E+00,3.56E+00,4.54E+01,1.28E+01,1.831241086
SERPINE1,1.32E-07,1.92E-05,3.56E+00,3.56E+00,1.78E+02,5.01E+01,1.830121713
AC009245.1,6.68E-01,8.90E-01,3.51E+00,3.51E+00,2.36E+01,6.74E+00,1.810752882
CDKN1C,5.30E-04,1.26E-02,3.48E+00,3.48E+00,2.73E+00,7.84E-01,1.799823634
VASN,3.11E-03,4.45E-02,3.48E+00,3.48E+00,3.62E+00,1.04E+00,1.79867216
SH3BGRL2,1.06E-02,1.01E-01,3.42E+00,3.42E+00,3.38E+00,9.89E-01,1.772514465
FRMD4B,1.31E-07,1.92E-05,3.40E+00,3.40E+00,9.36E+00,2.75E+00,1.765553544
PAPSS2,6.27E-08,1.13E-05,3.40E+00,3.40E+00,3.09E+01,9.11E+00,1.763485629
SHLD1,9.07E-04,1.87E-02,3.37E+00,3.37E+00,3.57E+00,1.06E+00,1.750855615
ZFAND6P1,4.79E-02,2.57E-01,3.35E+00,3.35E+00,5.27E+00,1.57E+00,1.744125676
OTUB2,2.41E-04,6.88E-03,3.34E+00,3.34E+00,1.14E+01,3.40E+00,1.740289395
