id,neg.lfc,neg.fdr
SNAP23,-1.1354,0.016089
UPF3B,-1.3394,0.016089
JTB,-1.2427,0.016089
ACOX1,-1.1738,0.042079
VPS41,-1.2009,0.042079
HIRA,-2.1061,0.051671
VTA1,-1.3862,0.051671
TMCO6,-1.551,0.051671
PIAS4,-1.1484,0.060781
MPV17L2,-1.1953,0.073132
TM2D3,-0.83671,0.082867
VPS53,-1.0783,0.0992
JMJD6,-1.2584,0.0992
RER1,-0.98584,0.0992
