NDUFA2
ACAD9
HMBS
COX18
ATP13A1
FOXRED1
PGM3
UROD
FOXA2
NDUFC2
NDUFC2-KCTD14
INTS12
UQCRC2
NDUFB4
RTN4IP1
SHOC2
NDUFAF7
CTC-260F20.3
DARS2
NDUFA10
JAG1
CPOX
NDUFAF1
MCAT
LIPT1
COA6
CARS2
LARP1
IBA57
SNRNP40
GTPBP8
CELF1
SOCS3
GLRX5
NDUFS7
PMM2
TIMMDC1
LIAS
LAMTOR4
FBXL4
RP11-512M8.5
AGPAT5
SNAPIN
COQ2
UQCC2
DHX29
VAC14
VPS11
CEP44
MRPS31
ZNF623
DLD
LIPT2
COQ3
UBIAD1
VPS18
FLCN
FIG4
DAXX
ALG6
NSD1
HIST3H2A
GABPA
VPS35
ALG5
KRAS
DHX34
YIPF5
PPIG
