Sample #,General Information,,,,Amount of Material,,,Miscellaneous,Treatment/Groups ,,
,Sample Name*,Sample Type*,Species/Strain*,Sample Buffer*,Total Amount*,Volume (µL),Conc (ng/µL),Purification Method*,Cell line,Treatments,Time point
42,42,RNA,HOMO SAPIENS,RNASE FREE WATER,3481,30,116,Zymo miniprep with In column DNAse I treatemnt ,NCI-N87,MBZ,24hr
43,43,RNA,HOMO SAPIENS,RNASE FREE WATER,15597,30,520,Zymo miniprep with In column DNAse I treatemnt ,HCT116,DMSO,72hr
44,44,RNA,HOMO SAPIENS,RNASE FREE WATER,14206,30,474,Zymo miniprep with In column DNAse I treatemnt ,HCT116,DMSO,72hr
45,45,RNA,HOMO SAPIENS,RNASE FREE WATER,13016,30,434,Zymo miniprep with In column DNAse I treatemnt ,HCT116,DMSO,72hr
46,46,RNA,HOMO SAPIENS,RNASE FREE WATER,5249,30,175,Zymo miniprep with In column DNAse I treatemnt ,HCT116,MBZ,72hr
47,47,RNA,HOMO SAPIENS,RNASE FREE WATER,5910,30,197,Zymo miniprep with In column DNAse I treatemnt ,HCT116,MBZ,72hr
48,48,RNA,HOMO SAPIENS,RNASE FREE WATER,5987,30,200,Zymo miniprep with In column DNAse I treatemnt ,HCT116,MBZ,72hr
49,49,RNA,HOMO SAPIENS,RNASE FREE WATER,4876,30,163,Zymo miniprep with In column DNAse I treatemnt ,T84,DMSO,72hr
50,50,RNA,HOMO SAPIENS,RNASE FREE WATER,6280,30,209,Zymo miniprep with In column DNAse I treatemnt ,T84,DMSO,72hr
51,51,RNA,HOMO SAPIENS,RNASE FREE WATER,5571,30,186,Zymo miniprep with In column DNAse I treatemnt ,T84,DMSO,72hr
52,52,RNA,HOMO SAPIENS,RNASE FREE WATER,1546,30,52,Zymo miniprep with In column DNAse I treatemnt ,T84,MBZ,72hr
53,53,RNA,HOMO SAPIENS,RNASE FREE WATER,1439,30,48,Zymo miniprep with In column DNAse I treatemnt ,T84,MBZ,72hr
54,54,RNA,HOMO SAPIENS,RNASE FREE WATER,1426,30,48,Zymo miniprep with In column DNAse I treatemnt ,T84,MBZ,72hr
55,55,RNA,HOMO SAPIENS,RNASE FREE WATER,5402,30,180,Zymo miniprep with In column DNAse I treatemnt ,MCF7,DMSO,72hr
56,56,RNA,HOMO SAPIENS,RNASE FREE WATER,4786,30,160,Zymo miniprep with In column DNAse I treatemnt ,MCF7,DMSO,72hr
57,57,RNA,HOMO SAPIENS,RNASE FREE WATER,7597,30,253,Zymo miniprep with In column DNAse I treatemnt ,MCF7,DMSO,72hr
58,58,RNA,HOMO SAPIENS,RNASE FREE WATER,3003,30,100,Zymo miniprep with In column DNAse I treatemnt ,MCF7,MBZ,72hr
59,59,RNA,HOMO SAPIENS,RNASE FREE WATER,3085,30,103,Zymo miniprep with In column DNAse I treatemnt ,MCF7,MBZ,72hr
60,60,RNA,HOMO SAPIENS,RNASE FREE WATER,2685,30,89,Zymo miniprep with In column DNAse I treatemnt ,MCF7,MBZ,72hr
61,61,RNA,HOMO SAPIENS,RNASE FREE WATER,3817,30,127,Zymo miniprep with In column DNAse I treatemnt ,Hs766T,DMSO,72hr
62,62,RNA,HOMO SAPIENS,RNASE FREE WATER,4812,30,160,Zymo miniprep with In column DNAse I treatemnt ,Hs766T,DMSO,72hr
63,63,RNA,HOMO SAPIENS,RNASE FREE WATER,4359,30,145,Zymo miniprep with In column DNAse I treatemnt ,Hs766T,DMSO,72hr
64,64,RNA,HOMO SAPIENS,RNASE FREE WATER,1935,30,65,Zymo miniprep with In column DNAse I treatemnt ,Hs766T,MBZ,72hr
65,65,RNA,HOMO SAPIENS,RNASE FREE WATER,2636,30,88,Zymo miniprep with In column DNAse I treatemnt ,Hs766T,MBZ,72hr
66,66,RNA,HOMO SAPIENS,RNASE FREE WATER,2445,30,82,Zymo miniprep with In column DNAse I treatemnt ,Hs766T,MBZ,72hr
67,67,RNA,HOMO SAPIENS,RNASE FREE WATER,7297,30,243,Zymo miniprep with In column DNAse I treatemnt ,CCC5,DMSO,72hr
68,68,RNA,HOMO SAPIENS,RNASE FREE WATER,6142,30,205,Zymo miniprep with In column DNAse I treatemnt ,CCC5,DMSO,72hr
69,69,RNA,HOMO SAPIENS,RNASE FREE WATER,7647,30,255,Zymo miniprep with In column DNAse I treatemnt ,CCC5,DMSO,72hr
70,70,RNA,HOMO SAPIENS,RNASE FREE WATER,6885,30,229,Zymo miniprep with In column DNAse I treatemnt ,CCC5,MBZ,72hr
71,71,RNA,HOMO SAPIENS,RNASE FREE WATER,7247,30,242,Zymo miniprep with In column DNAse I treatemnt ,CCC5,MBZ,72hr
72,72,RNA,HOMO SAPIENS,RNASE FREE WATER,7466,30,249,Zymo miniprep with In column DNAse I treatemnt ,CCC5,MBZ,72hr
73,73,RNA,HOMO SAPIENS,RNASE FREE WATER,5267,30,176,Zymo miniprep with In column DNAse I treatemnt ,CHLA-9,DMSO,72hr
74,74,RNA,HOMO SAPIENS,RNASE FREE WATER,7310,30,244,Zymo miniprep with In column DNAse I treatemnt ,CHLA-9,DMSO,72hr
75,75,RNA,HOMO SAPIENS,RNASE FREE WATER,6318,30,211,Zymo miniprep with In column DNAse I treatemnt ,CHLA-9,DMSO,72hr
76,76,RNA,HOMO SAPIENS,RNASE FREE WATER,1368,30,46,Zymo miniprep with In column DNAse I treatemnt ,CHLA-9,MBZ,72hr
77,77,RNA,HOMO SAPIENS,RNASE FREE WATER,1296,30,43,Zymo miniprep with In column DNAse I treatemnt ,CHLA-9,MBZ,72hr
78,78,RNA,HOMO SAPIENS,RNASE FREE WATER,3484,30,116,Zymo miniprep with In column DNAse I treatemnt ,CHLA-9,MBZ,72hr
79,79,RNA,HOMO SAPIENS,RNASE FREE WATER,5261,30,175,Zymo miniprep with In column DNAse I treatemnt ,NCI-N87,DMSO,72hr
80,80,RNA,HOMO SAPIENS,RNASE FREE WATER,6246,30,208,Zymo miniprep with In column DNAse I treatemnt ,NCI-N87,DMSO,72hr
81,81,RNA,HOMO SAPIENS,RNASE FREE WATER,6805,30,227,Zymo miniprep with In column DNAse I treatemnt ,NCI-N87,DMSO,72hr
82,82,RNA,HOMO SAPIENS,RNASE FREE WATER,1033,30,34,Zymo miniprep with In column DNAse I treatemnt ,NCI-N87,MBZ,72hr
83,83,RNA,HOMO SAPIENS,RNASE FREE WATER,1638,30,55,Zymo miniprep with In column DNAse I treatemnt ,NCI-N87,MBZ,72hr
84,84,RNA,HOMO SAPIENS,RNASE FREE WATER,1549,30,52,Zymo miniprep with In column DNAse I treatemnt ,NCI-N87,MBZ,72hr
85,85,RNA,HOMO SAPIENS,RNASE FREE WATER,6840,30,228,Zymo miniprep with In column DNAse I treatemnt ,CHLA-9,Untreated ,72hr
86,86,RNA,HOMO SAPIENS,RNASE FREE WATER,5535,30,184,Zymo miniprep with In column DNAse I treatemnt ,CHLA-9,Untreated ,72hr
87,87,RNA,HOMO SAPIENS,RNASE FREE WATER,2412,30,80,Zymo miniprep with In column DNAse I treatemnt ,CHLA-9,Untreated ,72hr
88,88,RNA,HOMO SAPIENS,RNASE FREE WATER,5182,30,173,Zymo miniprep with In column DNAse I treatemnt ,NCI-N87,DMSO,48hr
89,89,RNA,HOMO SAPIENS,RNASE FREE WATER,4577,30,153,Zymo miniprep with In column DNAse I treatemnt ,NCI-N87,DMSO,48hr
90,90,RNA,HOMO SAPIENS,RNASE FREE WATER,4691,30,156,Zymo miniprep with In column DNAse I treatemnt ,NCI-N87,DMSO,48hr
91,91,RNA,HOMO SAPIENS,RNASE FREE WATER,3234,30,108,Zymo miniprep with In column DNAse I treatemnt ,NCI-N87,CRT0512199.05 ,48hr
92,92,RNA,HOMO SAPIENS,RNASE FREE WATER,3880,30,129,Zymo miniprep with In column DNAse I treatemnt ,NCI-N87,CRT0512199.05,48hr
93,93,RNA,HOMO SAPIENS,RNASE FREE WATER,3511,30,117,Zymo miniprep with In column DNAse I treatemnt ,NCI-N87,CRT0512199.05,48hr
94,94,RNA,HOMO SAPIENS,RNASE FREE WATER,2633,30,88,Zymo miniprep with In column DNAse I treatemnt ,NCI-N87,CRT0512000.03,48hr
95,95,RNA,HOMO SAPIENS,RNASE FREE WATER,3013,30,100,Zymo miniprep with In column DNAse I treatemnt ,NCI-N87,CRT0512000.03 ,48hr
96,96,RNA,HOMO SAPIENS,RNASE FREE WATER,2781,30,93,Zymo miniprep with In column DNAse I treatemnt ,NCI-N87,CRT0512000.03,48hr
97,97,RNA,HOMO SAPIENS,RNASE FREE WATER,2609,30,87,Zymo miniprep with In column DNAse I treatemnt ,NCI-N87,TAK931,48hr
98,98,RNA,HOMO SAPIENS,RNASE FREE WATER,2996,30,100,Zymo miniprep with In column DNAse I treatemnt ,NCI-N87,TAK931,48hr
99,99,RNA,HOMO SAPIENS,RNASE FREE WATER,2986,30,100,Zymo miniprep with In column DNAse I treatemnt ,NCI-N87,TAK931,48hr
100,100,RNA,HOMO SAPIENS,RNASE FREE WATER,1253,40,31,Zymo miniprep with In column DNAse I treatemnt ,SW1271,DMSO,48hr
101,101,RNA,HOMO SAPIENS,RNASE FREE WATER,1308,40,33,Zymo miniprep with In column DNAse I treatemnt ,SW1271,DMSO,48hr
102,102,RNA,HOMO SAPIENS,RNASE FREE WATER,1243,40,31,Zymo miniprep with In column DNAse I treatemnt ,SW1271,DMSO,48hr
103,103,RNA,HOMO SAPIENS,RNASE FREE WATER,466,40,12,Zymo miniprep with In column DNAse I treatemnt ,SW1271,CRT0512199.05 ,48hr
104,104,RNA,HOMO SAPIENS,RNASE FREE WATER,350,40,9,Zymo miniprep with In column DNAse I treatemnt ,SW1271,CRT0512199.05,48hr
105,105,RNA,HOMO SAPIENS,RNASE FREE WATER,317,40,8,Zymo miniprep with In column DNAse I treatemnt ,SW1271,CRT0512199.05,48hr
106,106,RNA,HOMO SAPIENS,RNASE FREE WATER,558,40,14,Zymo miniprep with In column DNAse I treatemnt ,SW1271,CRT0512000.03,48hr
107,107,RNA,HOMO SAPIENS,RNASE FREE WATER,536,40,13,Zymo miniprep with In column DNAse I treatemnt ,SW1271,CRT0512000.03 ,48hr
108,108,RNA,HOMO SAPIENS,RNASE FREE WATER,576,40,14,Zymo miniprep with In column DNAse I treatemnt ,SW1271,CRT0512000.03,48hr
109,109,RNA,HOMO SAPIENS,RNASE FREE WATER,570,40,14,Zymo miniprep with In column DNAse I treatemnt ,SW1271,TAK931,48hr
110,110,RNA,HOMO SAPIENS,RNASE FREE WATER,586,40,15,Zymo miniprep with In column DNAse I treatemnt ,SW1271,TAK931,48hr
111,111,RNA,HOMO SAPIENS,RNASE FREE WATER,578,40,14,Zymo miniprep with In column DNAse I treatemnt ,SW1271,TAK931,48hr
